"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","Test001","SUCCESS","2023-01-03T17:30:53.251Z[Europe/London]","0.0","4.11"
"User CRUD test","Test002","SUCCESS","2023-01-03T17:30:57.379Z[Europe/London]","0.0","9.53"
"User CRUD test","Test003","SUCCESS","2023-01-03T17:31:06.910Z[Europe/London]","0.0","1.17"
"User CRUD test","Test004","SUCCESS","2023-01-03T17:31:08.079Z[Europe/London]","0.0","2.51"
"User CRUD test","Test005","SUCCESS","2023-01-03T17:31:10.592Z[Europe/London]","0.0","3.14"
